ግዕዝ ,ትግርኛ 
ሐወፀ,በርሀ
ሐፀ,ሃፀፀ፡ ጐደለ፡ ነኣሰ
ሐፀ፡ ሐፀፀ,ቘረጸ፡ ኣሕጸረ
መሐፀ,ቈረጸ፡ ዓየየ
ምሕፀ,ደረፈ፡ ነቐፈ፡ ተንከፈ
ምሕፀ,ዕልቕልቕ በለ
ምሕፀ,ሃደመ
ሞየፀ,መወፀ
ሞፀ,ከሓሰ
ሠረፀ,ወፅአ
ሠረፀ,በቘለ፡ ሠረፀ
ሮየፀ,ወርወረ፡ ወግኣ፡ ኣቝሰለ
ሮፀ,ጐየየ
ለሐጸ,ለሓጸ
ለመጸ,ለመጸ፡ ለማጽ ኮነ
ለመጸ,ለምጺ ኣውፅአ
ለጽለጸ,መዘነ
ለፈጸ,ለወሰ፡ ሓሰየ
ሐረጸ,ሓረጸ፡ ጠሓነ
ኀረጸ,ጸሓፈ
ሐንጸጸ,ኣከበ (ኣብ ዓውዲ)
ሐንፈጸ,ሓሐየ፡ ጐለለ (ብምሔ)
መጐጸ,ዘለፈ
መጸ፡ መጸጸ,በኵዐ፡ መጸጸ
ሰርወጸ,ሰንጠረ፡ ጫለደ
ሰንጸ,ተኾልዐ፡ መስመስ በለ፡ ማሕማሕ በለ
ሥሕጸ,ጸረፈ፡ ተንከፈ
ሥሕጸ,ብኽፉእ ነገር ደፈረ
ሥሕጸ,ጠብሎቕ ጠብሎቕ በለ
ረሀጸ,ረሃጸ
ረመጸ,ረመጽ ኮነ
ረየጸ,በርሀ
ረየጸ,ቐጽዐ፡ ገርሐ፡ ኣግርዐ
ረገጸ,ረገጸ
ርህፀ,ረሃጸ
ርህጸ,ተበሳጨወ
ቀረጸ,ቀምቀመ፡ ቈረጸ
ቀብጸ,ቀበጸ፡ ሰኣነ፡ ረስዐ
ቀብጸ,ተስፋ ቘረጸ
ቀነጸ,ዘለለ፡ ሽኾኸ
ቀጽቀጸ,ቀርጠመ፡ ቅርጥማት ኃዘ
ቀፈጸ,ሓፍረት ገለጸ፡ ቀልዐ፡ ከፈተ
በቈጸ,በቈጸ፡ ኣሽረፈ፡ ሓዊ ጋልሀ
በየጸ,ፈለየ
በየጸ,ፈጸመ፡ ተዛረበ
ቤጸ,ፈለየ
ተልሕፀ,ተላሕፀ፡ ተመልጠ
ተማወፀ,ተካሕሰ
ተረየጸ,ተቐጽዐ፡ ተገርሐ፡ ገርዐ
ተራይጸ,ተገዝአ
ተራገጸ,ተራገጸ፡ ተንፈራፈረ
ተቀብጸ,ተናዕቀ፡ ተረስዐ፡ ተቐብጸ
ተበረፀ,ተዘርዘረ
ተባረጸ,ተብለጭለጨ
ተባረጸ,ኣንጸባረቐ፡ ኣብለጭለ
ተባረጸ,ተበሳጨወ
ተባየጸ,ብጻይ ገበረ
ተአቅጸ,ኀበጠ፡ ተዓንቀፈ
ተዐቅጸ,ኣጐንበሰ፡ ደነነ
ተጋየጸ,ተጋየጸ፡ ኣጋየጸ
ተጋየጸ,ተኸራኸረ፡ ተበኣሰ /ዘዐኣ. ፳፫፥፳፪/
ተፋለጸ,ኣንጸባረቐ፡ ተብለጭለ
ነቅጸ,ደረቐ፡ ነቐጸ
ነፍጸ,ሃደመ፡ ነፈጸ
አሕፀፀ,ኣንኣሰ፡ ኣጒደለ፡ ኣህፀፀ
አልመጸ,ኣልመጸ
ዐመጸ,ዓመጸ
አመጐጸ,ኣዋረደ
አመጐጸ,ተተናኸፈ
ኣስተሐየጸ,ተመልከተ፡ ሓበረ
አስተዳጐጸ,ኣጻልኣ፡ ኣተናኸፈ
አርመጸ,ረመጽ ኮነ፡ ኣንደደ
አቀጸ,ኣሰረ
አቀጸ,ተጨነቐ፡ ኃዘነ
አንፈርዐፀ,ብሓጐስ ዘለለ፡ ፍርፍር በለ
አዕቀጸ,ኣዓንቀፈ
አዕቀጸ,ኣሠረ፡ ተኻትዐ
ኣይበጸ,ኣለቅሐ
አድኀፀ,ኣድሓጸ፡ ሸተት በለ
አድኀፀ,ኣቘልዐ፡ ኣውፅአ
ኣድመጸ,ኣስምዐ፡ ረኸበ
0:00,ዱር ኮነ
ወጽወጸ,ነቕነቐ
ደምፀ,ተሰምዐ
ደረጸ,መንጠለ
ደነፀ,ነፈገ፡ ሰስዐ
ደንገፀ,ደንገጸ
ደጐፀ,ኣንቈረ፡ ወግአ
ደጐፀ,ጕስጢት ሃረመ
ድኅፀ,ኣንደልሃጸ፡ ሸታሕ በለ
ገለጸ,ገለጸ
ገመጸ,ኣዳለወ፡ ፍርዲ ኣዘንበለ፡ ኣቕነነ
ገሠጸ,ገሠጸ፡ ተቈጥዐ፡ ገንሐ፡ መዓደ
ገየጸ,ኣጌጸ
ገየጸ,ጸልአ፡ ገየጸ
ገገጸ,ኣድሓርሓረ፡ ፈርሀ
ገገጸ,ዛረየ፡ ቆመ (ዝናም)
ጐየጸ,ተናጽሐ፡ ጠረጠ፡ ፈወሰ
ፈለጸ,ኸፈለ፡ ፈለጸ
ኀለፈ,ሓለፈ፡ ኸደ
ኀለፈ,ሞተ
ኀለፈ,ሰፍሐ (ስፍሓት ቊስሊ)
ሐረፈ,ቐቐ፡ ስሓወ፡ ሰስዐ
ሐረፈ,ጸየ (ንትምትሞ)
ሐቀፈ,ሓቘፈ
ሐደፈ,መሃረ፡ ኣድኃነ፡ ወልወለ፡ ኣንጽሐ፡ ቀዘፈ（ንመርከብ፡ ንጀልባ)
ለአፈ,ጐለሰ፡ በልዐ
ለከፈ,ተንከፈ፡ ለኸፈ
ለፈ፡ ለፈፈ,ጸሓፈ
መንተፈ,ይሐ፡ ቃቕሐ
መወፈ,ገፈለ
ሰረፈ,ገልዐ፡ ሸረፈ
ሰየፈ,የፈ፡ ቘረጸ
ሰፈፈ,ነፈፈ፡ ተንሳፈፈ፡ ጸብለለ
ሰፈፈ,ገዝኀ፡ ተረፈ፡ መልአ
ረጒነፈ,ጐዝጐዘ፡ ነስነሰ
ቀሠፈ,ገረፈ፡ ሃረመ
ቀሠፈ,ሠፈ፡ ቐተለ
ቀረፈ /ቀደፈ,ተረፈ
ተሓለፈ,ተዘራረበ
ተሓለፈ,ኣጽንዐ
ተለሐፈ,ሕ ኣበለ
ተለሐፈ,ተከዘ፡ ኃዘነ
ተለሐፈ,ተቘርቈረ፡ ጐሃየ
ተልሐፈ,ተፋለጠ፡ ተራኸበ
ተሳተፈ,ሓደ ኾነ፡ ተሳተፈ፡ ተኻፈለ
ተረፈተርፈ,ተረፈ
ተነዝፈ,ተቘጸ፡ ተዘልዓል፡ ተሰልበ
ተዐቅፈ,ተዓንቀፈ
ተኣጽፈ,ተጐናጻፈ፡ ተኸድነ
ተወክፈ,ተቐበለ፡ ተወከፈ
ተወዝፈ,ኣጌጸ፡ ተኸናወነ
ተዛለፈ,ተኸራኸረ፡ ተጻረፈ
ተዛወፈ,ተመክሐ
ነቀፈ,ነቐፈ
ነቀፈ,ፈለየ
ነቀፈ,ቀረፈ፡ ለሓጸ
ንተፈ,ቘረጸ
ንዘፈ,ኣርገፈ፡ ሰልዐ
ንዘፈ,ኣንጸፈ
ነደፈ,ሓንጸጸ (ነደፈ)
ንደፈ,ወግአ
ነገፈ,ነገፈ
ንጠፈ,ለበጠ
ነጠፈ,ኮልዐ
ነጠፈ,ኣጽረየ
ነጸፈ,ኣንጸፈ
ንፍነፈ,ካፈየ (ዝናም)
ኣልፈፈ,ኣዋጅ ኣንገረ
ኣስተኀለፈ,ኣዋጅ ነገረ
ኣስተኀለፈ,ኣመስቀለ፡ ኣመኃላለፈ
ኣስተናደፈ,መሠረት ኣንበረ
ኣስተናደፈ,ኣተኻኸለ
ኣንዘፍዘፈ,ኣንገብገበ፡ ኣምበድበደ፡ ኣሽረፈ
አንገፈ,ኣናገፈ
ኣንጸፈ,ኣንጸፈ
አንጸፍጸፈ,ጥብ ጥብ በለ፡ ዘራሕራሕ በለ (ንፈሳሲ)
አዕረፈ,ኣዕረፈ፡ ሞተ፡ ኣሞተ
አዕቀፈ,ኣዓንቀንፈ፡ ኣሰናከለ
አኮፈ,ኣኾፈ፡ ኣዕቈረ
ኣኮፈ,ኣቐበለ
አውቀፈ,ኣምባር ሠርሐ
አውከፈ,ኣቐበለ፡ ተቐበለ
አዝለፈ,ኣዘውተረ፡ ኣንውኀ
አጠፈ,ዓጸፈ፡ ጠቕለለ
አጥነፈ,ሰለመ፡ ኣጌጸ፡ ጠለፈ
አጸፈ,ሰለመ፡ ከደነ፡ ኣልበሰ
አጽሐፈ,ነገረ፡ ኣጽሓፈ
ዐረፈ,ዓረፈ
ከልተፈ,ሸንከፍ ኣበለ
ወጸፈ,ወንጨፈ
ዘለፈ,ዘለፈ፡ ጸረፈ፡ ገንሐ
ዘርገፈ,ዘርገፈ፡ ኣጸበቐ
ደሐፈ,ጠፍአ
ደፍደፈ,ደፍደፈ፡ ለሰነ
ገሐፈ,ጐሓፈ፡ ጸረገ
ገሐፈ,በተነ
ገለፈ,ገለፈ፡ ቐረጸ
ገለፈ,ጣዖት ሠርሐ፡ ለበጠ
ገረፈ,ኣጻወደ
ገነፈ,ክዳን ሓፀበ
ገዝፈ,ገዘፈ
ገደፈ,ገደፈ፡ ኃደገ
ጸሐፈ,ጸሓፈ፡ ቁጸረ
ጸረፈ,ጸረፈ
ጸየፈ,ዓኽላል ኮነ፡ መንካዕ ኾነ፡ ጸየፈ
ጸድፈ,ጸደፈ፡ ወደቐ፡ ኣንከራረወ
ጸፍጸፈ,ደርደረ፡ ጸፍጸፍ ሠርሐ
ጸፍጸፈ,ንእሽቶ ቤት መሳሊ ሠርሐ
ፈልሰፈ,ፈልሰፈ፡ ብልሓተኛ ኾነ
አፈ,ግዜ
ሄስቀፐ,ሓረሰ
ሰለፐ,ቀብአ፡ ሠርሐ
ሰረፐ,ቀደሰ
ሴልፐ,ዓሌት ኮነ፡ እንዳ ኾነ
ሮፐ,ጸንዐ
ቴረፐ,ኣጻወደ
ቴርፐ,በዝኀ
ቴፐ,ደበበ
ኤስከተፐ,ሓረሰ
ኤፐፐ,ፈተወ
ከተፐ,ጸሓፈ
የትኮተፐ,ሓረሰ
ዴፐ,ደባይ ተቐመጠ፡ ኣድበየ
